movie_id,Crime,Drama,Comedy,Action,Thriller,Adventure,Science Fiction,Animation,Family,Romance,Mystery,Music,Horror,Fantasy,Documentary,War,Western,History,Foreign,TV Movie,imdb_id,popularity,release_date,vote_average,vote_count,revenue,budget,Cast 1,Cast 2,Production,Month,Year,Error
300671,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,tt4172430,18.022579,2016-01-13,7.0,963.0,69411370,50000000,1.0,1.0,4,1,2016,1
300671,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,tt4172430,18.022579,2016-01-13,7.0,963.0,69411370,50000000,1.0,1.0,1,1,2016,1
300671,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,tt4172430,18.022579,2016-01-13,7.0,963.0,69411370,50000000,1.0,1.0,1,1,2016,1
300671,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,tt4172430,18.022579,2016-01-13,7.0,963.0,69411370,50000000,1.0,1.0,1,1,2016,1
300672,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3704298,6.871869,2016-04-18,5.6,21.0,23896,2600000,1.0,1.0,1,4,2016,1
300673,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,tt2025690,10.385757,2016-01-25,6.3,597.0,52099090,80000000,1.0,1.0,2,1,2016,1
301875,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt3289728,19.803969,2015-07-15,5.9,386.0,2084628,16000000,1.0,1.0,1,7,2015,1
301875,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt3289728,19.803969,2015-07-15,5.9,386.0,2084628,16000000,1.0,1.0,1,7,2015,1
301875,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,tt3289728,19.803969,2015-07-15,5.9,386.0,2084628,16000000,1.0,1.0,1,7,2015,1
302156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3014866,10.038581,2016-04-14,5.8,566.0,38803993,31500000,1.0,1.0,1,4,2016,1
302156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3014866,10.038581,2016-04-14,5.8,566.0,38803993,31500000,1.0,1.0,1,4,2016,1
302156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3014866,10.038581,2016-04-14,5.8,566.0,38803993,31500000,1.0,1.0,1,4,2016,1
302156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3014866,10.038581,2016-04-14,5.8,566.0,38803993,31500000,1.0,1.0,1,4,2016,1
302401,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt3774114,14.384554,2016-09-15,7.0,1285.0,37279439,40000000,1.0,1.0,1,9,2016,1
302699,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt1489889,11.374041,2016-06-15,6.2,1699.0,216972543,50000000,1.0,1.0,4,6,2016,1
302699,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt1489889,11.374041,2016-06-15,6.2,1699.0,216972543,50000000,1.0,1.0,2,6,2016,1
302699,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt1489889,11.374041,2016-06-15,6.2,1699.0,216972543,50000000,1.0,1.0,1,6,2016,1
302699,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt1489889,11.374041,2016-06-15,6.2,1699.0,216972543,50000000,1.0,1.0,1,6,2016,1
302946,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2140479,13.465656,2016-10-14,6.9,2121.0,155160045,44000000,1.0,1.0,4,10,2016,1
302946,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2140479,13.465656,2016-10-14,6.9,2121.0,155160045,44000000,1.0,1.0,1,10,2016,1
302946,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2140479,13.465656,2016-10-14,6.9,2121.0,155160045,44000000,1.0,1.0,1,10,2016,1
302946,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2140479,13.465656,2016-10-14,6.9,2121.0,155160045,44000000,1.0,1.0,1,10,2016,1
303857,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,tt3819668,11.350372,2015-04-18,6.8,377.0,61768190,5000000,1.0,1.0,1,4,2015,1
303857,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,tt3819668,11.350372,2015-04-18,6.8,377.0,61768190,5000000,1.0,1.0,1,4,2015,1
303858,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2241351,11.953822,2016-05-12,6.5,1096.0,93282604,27000000,1.0,1.0,2,5,2016,1
303858,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2241351,11.953822,2016-05-12,6.5,1096.0,93282604,27000000,1.0,1.0,1,5,2016,1
303858,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2241351,11.953822,2016-05-12,6.5,1096.0,93282604,27000000,1.0,1.0,1,5,2016,1
303858,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2241351,11.953822,2016-05-12,6.5,1096.0,93282604,27000000,1.0,1.0,1,5,2016,1
304357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt2404425,11.61,2015-04-10,7.3,454.0,61619773,11000000,2.0,1.0,2,4,2015,1
